PRODUCTO,NOMBRECOMERCIAL,LATITUD,LONGITUD,PRECIO
AZUCAR,BODEGA AURRERA SUCURSAL PANTITLAN,19.40086,-99.06125,38.0
AZUCAR,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,38.0
AZUCAR,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,38.25
AZUCAR,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,38.0
AZUCAR,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,45.0
AZUCAR,PACIC CENTRAL DE ABASTO IZTAPALAPA,19.379432,-99.08789,35.0
AZUCAR,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,52.0
AZUCAR,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,52.0
HUEVO,BODEGA AURRERA SUCURSAL PANTITLAN,19.40086,-99.06125,50.8
HUEVO,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,49.875
HUEVO,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,51.125
HUEVO,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,50.125
HUEVO,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,48.333333333333336
HUEVO,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,53.7
HUEVO,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,53.25
HUEVO,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,52.225
HUEVO,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,50.375
HUEVO,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,51.5
HUEVO,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,51.166666666666664
HUEVO,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,51.125
HUEVO,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,51.125
LECHE ULTRAPASTEURIZADA,BODEGA AURRERA SUCURSAL PANTITLAN,19.40086,-99.06125,29.5
LECHE ULTRAPASTEURIZADA,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,29.5
LECHE ULTRAPASTEURIZADA,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,29.5
LECHE ULTRAPASTEURIZADA,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,29.5
LECHE ULTRAPASTEURIZADA,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,28.5
LECHE ULTRAPASTEURIZADA,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,28.766666666666666
LECHE ULTRAPASTEURIZADA,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,29.96666666666667
LECHE ULTRAPASTEURIZADA,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,29.0
LECHE ULTRAPASTEURIZADA,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,29.5
LECHE ULTRAPASTEURIZADA,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,29.5
LECHE ULTRAPASTEURIZADA,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,29.5
LECHE ULTRAPASTEURIZADA,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,29.5
LECHE ULTRAPASTEURIZADA,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,29.5
