Año,Alcaldía,Grupo de edad,Población,menores_de_18,mayores_de_18,Categoria de Edad,Categoria de edad
2020,Álvaro Obregón,0 a 4 años,38484,True,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,5 a 9 años,46700,True,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,10 a 14 años,50868,True,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,15 a 19 años,54848,False,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,20 a 24 años,59941,False,False,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,25 a 29 años,60708,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,30 a 34 años,59486,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,35 a 39 años,57172,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,40 a 44 años,55144,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,45 a 49 años,55973,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,50 a 54 años,52721,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,55 a 59 años,43950,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,60 a 64 años,38506,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,65 a 69 años,29503,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,70 a 74 años,21797,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,75 a 79 años,14182,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,80 a 84 años,9657,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,85 a 89 años,5536,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,90 a 94 años,2332,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,95 a 99 años,715,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,100 años y más,91,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,No especificado,823,False,False,,
2020,Azcapotzalco ,0 a 4 años,21060,True,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,5 a 9 años,23420,True,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,10 a 14 años,25886,True,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,15 a 19 años,27983,False,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,20 a 24 años,31456,False,False,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,25 a 29 años,34405,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,30 a 34 años,34905,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,35 a 39 años,33162,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,40 a 44 años,31245,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,45 a 49 años,31859,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,50 a 54 años,31135,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,55 a 59 años,26674,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,60 a 64 años,23787,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,65 a 69 años,18059,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,70 a 74 años,14232,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,75 a 79 años,9631,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,80 a 84 años,6845,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,85 a 89 años,3794,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,90 a 94 años,1689,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,95 a 99 años,535,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,100 años y más,78,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,No especificado,365,False,False,,
2020,Benito Juárez,0 a 4 años,16642,True,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,5 a 9 años,17069,True,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,10 a 14 años,17532,True,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,15 a 19 años,18970,False,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,20 a 24 años,25111,False,False,Mayores de edad,Mayores de Edad
2020,Benito Juárez,25 a 29 años,37175,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,30 a 34 años,45187,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,35 a 39 años,42967,False,True,Mayores de edad,Mayores de Edad
