precio,ubicacion,delegacion,colonia,tamanio,latitud,longitud
29900,"Jose Maria Castorena 232,  El Yaqui, Cuajimalpa de Morelos",Cuajimalpa de Morelos,El Yaqui,802,19.361,-99.28
24900,"División del Norte 327,  Del Valle Centro, Benito Juárez",Benito Juárez,Del Valle Centro,50,19.393,-99.16
20000,"AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco",Azcapotzalco,Nextengo,24,19.473,-99.18
18000,"Montecito 38,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,40,19.394,-99.17
50000,"Avenida de las Palmas 1065,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,291,19.426,-99.22
15000,"gabriel mancera 941,  Del Valle Centro, Benito Juárez",Benito Juárez,Del Valle Centro,12,19.383,-99.16
41400,"Avenida Insurgentes Sur 1700,  Guadalupe Inn, Alvaro Obregón",Alvaro Obregón,Guadalupe Inn,691,19.361,-99.18
15000,"Plan de San Luis 461,  Nueva Santa Maria, Azcapotzalco",Azcapotzalco,Nueva Santa Maria,45,19.463,-99.16
55000,"REPUBLICA DE EL SALVADOR 35,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,22,19.429,-99.13
43000,"Campeche,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,581,19.409,-99.16
17000,"Doctor Barragán 307,  Doctores, Cuauhtémoc",Cuauhtémoc,Doctores,40,19.409,-99.14
62000,"Baja California,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,56,19.405,-99.16
23000,"MONTECITO 38,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,36,19.394,-99.17
40000,"JUAREZ,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,40,19.423,-99.16
65000,"Avenida Baja California 300,  Hipódromo, Cuauhtémoc",Cuauhtémoc,Hipódromo,56,19.406,-99.17
8500,"Marcelino Dávalos 53, Col. Algarín,  Algarín, Cuauhtémoc",Algarín,Col. Algarín,151,19.405,-99.13
10000,"Marcelino Dávalos 53 Colonia Algarín Cuauhtémoc Ciudad de México,  Algarín, Cuauhtémoc",Cuauhtémoc,Algarín,20,19.405,-99.13
12000,"Bolivar 1025 B,  Niños Héroes, Benito Juárez",Benito Juárez,Niños Héroes,33,19.385,-99.14
11000,"Marcelino Dávalos 53,  Algarín, Cuauhtémoc",Cuauhtémoc,Algarín,163,19.405,-99.13
16000,"calzada vallejo 1657,  Ampliación Progreso Nacional, Gustavo A. Madero",Gustavo A. Madero,Ampliación Progreso Nacional,80,19.52,-99.16
62000,"Avenida Baja California 295,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,56,19.406,-99.17
8500000,"Montecito,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,59,19.394,-99.17
1,"Av. Rio Churubusco 1072,  Nueva Rosita, Iztapalapa",Iztapalapa,Nueva Rosita,50960,19.378,-99.1
25000,"Av. Lomas de Sotelo,  Lomas de Sotelo, Miguel Hidalgo",Miguel Hidalgo,Lomas de Sotelo,68,19.447,-99.21
17500,"Los Girasoles ,  Los Girasoles, Coyoacán",Coyoacán,Los Girasoles,35,19.31,-99.12
48000,"Parques Plaza Calle Lago Alberto 442 20A ,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,531,19.438,-99.17
25000,"Bosque de Abetos,  Bosque de las Lomas, Miguel Hidalgo",Miguel Hidalgo,Bosque de las Lomas,751,19.407,-99.23
